supp,len,num,avg
0,544645,176225,2.09
.05,80946,34308,1.35
.10,27109,11413,1.37
.15,16204,6791,1.38
.20,11544,4837,1.38
.25,8665,3632,1.38
.30,6767,2792,1.42
.35,5518,2253,1.44
.40,4595,1858,1.47
.45,3877,1535,1.52
.50,3300,1277,1.58
.55,2836,1073,1.64
.60,2490,918,1.71
.65,2215,793,1.79
.70,2006,712,1.81
.75,1833,651,1.81
.80,1686,600,1.81
.85,1523,539,1.82
.90,1401,500,1.80
.95,1248,451,1.76
1.00,1120,406,1.75
1.05,1010,364,1.77
1.10,907,325,1.79
1.15,839,307,1.73
1.20,788,291,1.70
1.25,729,275,1.65
1.30,671,252,1.66
1.35,634,241,1.63
1.40,599,229,1.61
1.45,569,217,1.62
1.50,543,208,1.61
1.55,523,202,1.58
1.60,512,200,1.56
1.65,492,193,1.54
1.70,467,183,1.55
1.75,452,179,1.52
1.80,440,175,1.51
1.85,428,171,1.50
1.90,402,160,1.51
1.95,391,158,1.47
2.00,371,149,1.48
2.05,359,144,1.49
2.10,342,137,1.49
2.15,327,132,1.47
2.20,318,128,1.48
2.25,302,121,1.49
2.30,291,117,1.48
2.35,275,110,1.50
2.40,262,104,1.51
2.45,255,102,1.50
2.50,244,97,1.51
2.55,232,92,1.52
2.60,225,89,1.52
2.65,215,85,1.52
2.70,206,81,1.54
2.75,200,78,1.56
2.80,197,79,1.49
2.85,187,77,1.42
2.90,174,71,1.45
2.95,172,72,1.38
3.00,162,67,1.41
3.05,159,67,1.37
3.10,154,65,1.36
3.15,151,64,1.35
3.20,144,61,1.36
3.25,145,62,1.33
3.30,141,60,1.35
3.35,142,61,1.32
3.40,140,60,1.33
3.45,140,60,1.33
3.50,138,60,1.30
3.55,136,59,1.30
3.60,134,58,1.31
3.65,128,55,1.32
3.70,128,55,1.32
3.75,128,55,1.32
3.80,128,55,1.32
3.85,126,54,1.33
3.90,126,54,1.33
3.95,120,51,1.35
4.00,120,51,1.35
4.05,118,50,1.36
4.10,116,49,1.36
4.15,117,50,1.34
4.20,115,49,1.34
4.25,112,48,1.33
4.30,113,49,1.30
4.35,109,48,1.27
4.40,107,47,1.27
4.45,105,46,1.28
4.50,99,43,1.30
4.55,99,43,1.30
4.60,98,43,1.27
4.65,96,42,1.28
4.70,97,43,1.25
4.75,97,43,1.25
4.80,94,42,1.23
4.85,94,42,1.23
4.90,92,41,1.24
4.95,90,40,1.25
5.00,90,40,1.25
5.05,90,40,1.25
5.10,90,40,1.25
5.15,90,40,1.25
5.20,90,40,1.25
5.25,91,41,1.21
5.30,91,41,1.21
5.35,92,42,1.19
5.40,90,41,1.19
5.45,90,41,1.19
5.50,90,41,1.19
5.55,90,41,1.19
