supp,len,num,avg
0,178206,57690,2.08
.05,24832,10716,1.31
.10,8398,3591,1.33
.15,4995,2127,1.34
.20,3508,1486,1.36
.25,2595,1098,1.36
.30,2044,854,1.39
.35,1620,669,1.42
.40,1349,557,1.42
.45,1156,470,1.45
.50,989,396,1.49
.55,851,333,1.55
.60,744,285,1.61
.65,661,247,1.67
.70,595,218,1.72
.75,522,186,1.80
.80,482,171,1.81
.85,436,152,1.86
.90,408,145,1.81
.95,369,141,1.61
1.00,327,127,1.57
1.05,296,114,1.59
1.10,253,97,1.60
1.15,233,94,1.47
1.20,208,84,1.47
1.25,191,79,1.41
1.30,173,71,1.43
1.35,167,71,1.35
1.40,154,65,1.36
1.45,144,61,1.36
1.50,131,56,1.33
1.55,131,56,1.33
1.60,126,54,1.33
1.65,122,53,1.30
1.70,119,52,1.28
1.75,112,49,1.28
1.80,113,50,1.26
1.85,112,50,1.24
1.90,109,49,1.22
1.95,110,50,1.20
2.00,108,49,1.20
2.05,100,45,1.22
2.10,90,40,1.25
2.15,80,35,1.28
2.20,76,33,1.30
2.25,70,30,1.33
2.30,67,29,1.31
2.35,63,27,1.33
2.40,59,25,1.36
2.45,57,24,1.37
2.50,52,22,1.36
2.55,44,18,1.44
2.60,44,18,1.44
2.65,45,19,1.36
2.70,41,17,1.41
2.75,41,17,1.41
2.80,42,18,1.33
2.85,40,17,1.35
2.90,39,17,1.29
2.95,38,17,1.23
3.00,36,16,1.25
3.05,37,17,1.17
3.10,37,17,1.17
3.15,37,17,1.17
3.20,35,16,1.18
3.25,36,17,1.11
3.30,32,15,1.13
3.35,32,15,1.13
3.40,32,15,1.13
3.45,32,15,1.13
3.50,32,15,1.13
3.55,32,15,1.13
3.60,30,14,1.14
3.65,30,14,1.14
3.70,30,14,1.14
3.75,30,14,1.14
3.80,30,14,1.14
3.85,30,14,1.14
3.90,30,14,1.14
3.95,28,13,1.15
4.00,28,13,1.15
4.05,28,13,1.15
4.10,26,12,1.16
4.15,26,12,1.16
4.20,26,12,1.16
4.25,25,12,1.08
4.30,26,13,1.00
4.35,22,11,1.00
4.40,22,11,1.00
4.45,22,11,1.00
4.50,22,11,1.00
4.55,22,11,1.00
4.60,22,11,1.00
4.65,22,11,1.00
4.70,22,11,1.00
4.75,22,11,1.00
4.80,22,11,1.00
4.85,22,11,1.00
4.90,22,11,1.00
4.95,22,11,1.00
5.00,22,11,1.00
5.05,22,11,1.00
5.10,22,11,1.00
5.15,22,11,1.00
5.20,22,11,1.00
5.25,22,11,1.00
5.30,22,11,1.00
5.35,22,11,1.00
5.40,22,11,1.00
5.45,22,11,1.00
5.50,22,11,1.00
5.55,22,11,1.00
