supp,len,num,avg
0,174191,56982,2.05
.05,33696,14201,1.37
.10,10042,4299,1.33
.15,5843,2531,1.30
.20,4190,1845,1.27
.25,3092,1373,1.25
.30,2344,1035,1.26
.35,1955,868,1.25
.40,1643,730,1.25
.45,1356,600,1.26
.50,1179,518,1.27
.55,1034,452,1.28
.60,888,382,1.32
.65,770,323,1.38
.70,688,284,1.42
.75,639,262,1.43
.80,577,235,1.45
.85,534,217,1.46
.90,490,200,1.45
.95,435,174,1.50
1.00,394,158,1.49
1.05,360,146,1.46
1.10,325,132,1.46
1.15,288,119,1.42
1.20,273,117,1.33
1.25,248,111,1.23
1.30,222,101,1.19
1.35,197,90,1.18
1.40,188,87,1.16
1.45,179,84,1.13
1.50,170,82,1.07
1.55,159,78,1.03
1.60,153,76,1.01
1.65,144,72,1.00
1.70,130,65,1.00
1.75,128,64,1.00
1.80,124,62,1.00
1.85,124,62,1.00
1.90,114,57,1.00
1.95,112,56,1.00
2.00,110,55,1.00
2.05,110,55,1.00
2.10,106,53,1.00
2.15,106,53,1.00
2.20,104,52,1.00
2.25,96,48,1.00
2.30,96,48,1.00
2.35,86,43,1.00
2.40,82,41,1.00
2.45,78,39,1.00
2.50,76,38,1.00
2.55,72,36,1.00
2.60,66,33,1.00
2.65,60,30,1.00
2.70,58,29,1.00
2.75,52,26,1.00
2.80,50,25,1.00
2.85,44,22,1.00
2.90,38,19,1.00
2.95,38,19,1.00
3.00,32,16,1.00
3.05,30,15,1.00
3.10,28,14,1.00
3.15,24,12,1.00
3.20,22,11,1.00
3.25,22,11,1.00
3.30,22,11,1.00
3.35,22,11,1.00
3.40,22,11,1.00
3.45,22,11,1.00
3.50,22,11,1.00
3.55,20,10,1.00
3.60,20,10,1.00
3.65,18,9,1.00
3.70,18,9,1.00
3.75,18,9,1.00
3.80,18,9,1.00
3.85,16,8,1.00
3.90,16,8,1.00
3.95,14,7,1.00
4.00,14,7,1.00
4.05,12,6,1.00
4.10,12,6,1.00
4.15,12,6,1.00
4.20,12,6,1.00
4.25,10,5,1.00
4.30,10,5,1.00
4.35,10,5,1.00
4.40,10,5,1.00
4.45,8,4,1.00
4.50,4,2,1.00
4.55,4,2,1.00
4.60,4,2,1.00
4.65,4,2,1.00
4.70,4,2,1.00
4.75,4,2,1.00
4.80,2,1,1.00
4.85,2,1,1.00
4.90,2,1,1.00
4.95,2,1,1.00
5.00,2,1,1.00
5.05,2,1,1.00
5.10,2,1,1.00
5.15,2,1,1.00
5.20,2,1,1.00
5.25,2,1,1.00
5.30,2,1,1.00
5.35,2,1,1.00
5.40,2,1,1.00
5.45,2,1,1.00
5.50,2,1,1.00
5.55,2,1,1.00
