supp,len,num,avg
0,192248,61553,2.12
.05,22418,9391,1.38
.10,8669,3523,1.46
.15,5366,2133,1.51
.20,3846,1506,1.55
.25,2978,1161,1.56
.30,2379,903,1.63
.35,1943,716,1.71
.40,1603,571,1.80
.45,1365,465,1.93
.50,1132,363,2.11
.55,951,288,2.30
.60,858,251,2.41
.65,784,223,2.51
.70,723,210,2.44
.75,672,203,2.31
.80,627,194,2.23
.85,553,170,2.25
.90,503,155,2.24
.95,444,136,2.26
1.00,399,121,2.29
1.05,354,104,2.40
1.10,329,96,2.42
1.15,318,94,2.38
1.20,307,90,2.41
1.25,290,85,2.41
1.30,276,80,2.45
1.35,270,80,2.37
1.40,257,77,2.33
1.45,246,72,2.41
1.50,242,70,2.45
1.55,233,68,2.42
1.60,233,70,2.32
1.65,226,68,2.32
1.70,218,66,2.30
1.75,212,66,2.21
1.80,203,63,2.22
1.85,192,59,2.25
1.90,179,54,2.31
1.95,169,52,2.25
2.00,153,45,2.40
2.05,149,44,2.38
2.10,146,44,2.31
2.15,141,44,2.20
2.20,138,43,2.20
2.25,136,43,2.16
2.30,128,40,2.20
2.35,126,40,2.15
2.40,121,38,2.18
2.45,120,39,2.07
2.50,116,37,2.13
2.55,116,38,2.05
2.60,115,38,2.02
2.65,110,36,2.05
2.70,107,35,2.05
2.75,107,35,2.05
2.80,105,36,1.91
2.85,103,38,1.71
2.90,97,35,1.77
2.95,96,36,1.66
3.00,94,35,1.68
3.05,92,35,1.62
3.10,89,34,1.61
3.15,90,35,1.57
3.20,87,34,1.55
3.25,87,34,1.55
3.30,87,34,1.55
3.35,88,35,1.51
3.40,86,34,1.52
3.45,86,34,1.52
3.50,84,34,1.47
3.55,84,34,1.47
3.60,84,34,1.47
3.65,80,32,1.50
3.70,80,32,1.50
3.75,80,32,1.50
3.80,80,32,1.50
3.85,80,32,1.50
3.90,80,32,1.50
3.95,78,31,1.51
4.00,78,31,1.51
4.05,78,31,1.51
4.10,78,31,1.51
4.15,79,32,1.46
4.20,77,31,1.48
4.25,77,31,1.48
4.30,77,31,1.48
4.35,77,32,1.40
4.40,75,31,1.41
4.45,75,31,1.41
4.50,73,30,1.43
4.55,73,30,1.43
4.60,72,30,1.40
4.65,70,29,1.41
4.70,71,30,1.36
4.75,71,30,1.36
4.80,70,30,1.33
4.85,70,30,1.33
4.90,68,29,1.34
4.95,66,28,1.35
5.00,66,28,1.35
5.05,66,28,1.35
5.10,66,28,1.35
5.15,66,28,1.35
5.20,66,28,1.35
5.25,67,29,1.31
5.30,67,29,1.31
5.35,68,30,1.26
5.40,66,29,1.27
5.45,66,29,1.27
5.50,66,29,1.27
5.55,66,29,1.27
