Id:4 Day:11 Len:1
Id:9 Day:2 Len:1
Id:9 Day:30 Len:1
Id:11 Day:1 Len:1
Id:12 Day:8 Len:1
Id:13 Day:7 Len:1
Id:16 Day:1 Len:1
Id:17 Day:2 Len:1
Id:18 Day:23 Len:1
Id:20 Day:4 Len:1
Id:20 Day:5 Len:1
Id:20 Day:9 Len:1
Id:20 Day:39 Len:1
Id:21 Day:1 Len:1
Id:21 Day:2 Len:1
Id:22 Day:1 Len:5
Id:22 Day:2 Len:1
Id:22 Day:3 Len:3
Id:22 Day:4 Len:2
Id:22 Day:8 Len:1
Id:22 Day:9 Len:1
Id:22 Day:10 Len:2
Id:22 Day:13 Len:1
Id:22 Day:15 Len:2
Id:22 Day:16 Len:1
Id:22 Day:19 Len:1
Id:22 Day:23 Len:1
Id:22 Day:24 Len:1
Id:22 Day:26 Len:5
Id:22 Day:27 Len:2
Id:22 Day:28 Len:1
Id:22 Day:30 Len:1
Id:22 Day:33 Len:2
Id:22 Day:36 Len:1
Id:23 Day:2 Len:1
Id:24 Day:5 Len:1
Id:24 Day:10 Len:1
Id:25 Day:23 Len:1
Id:27 Day:2 Len:1
Id:28 Day:1 Len:1
Id:28 Day:2 Len:1
Id:29 Day:12 Len:1
Id:31 Day:1 Len:2
Id:31 Day:3 Len:1
Id:31 Day:19 Len:1
Id:31 Day:21 Len:1
Id:31 Day:28 Len:1
Id:31 Day:30 Len:1
Id:31 Day:34 Len:1
Id:31 Day:36 Len:1
Id:32 Day:1 Len:1
Id:32 Day:2 Len:2
Id:32 Day:20 Len:1
