Id:1 FDay:6 LDay:46 Dur:40
Id:2 FDay:5 LDay:43 Dur:38
Id:3 FDay:42 LDay:69 Dur:27
Id:4 FDay:8 LDay:66 Dur:58
Id:5 FDay:84 LDay:90 Dur:6
Id:6 FDay:65 LDay:90 Dur:25
Id:7 FDay:89 LDay:90 Dur:1
Id:8 FDay:1 LDay:90 Dur:89
Id:9 FDay:88 LDay:90 Dur:2
Id:10 FDay:1 LDay:90 Dur:89
Id:11 FDay:1 LDay:90 Dur:89
Id:12 FDay:2 LDay:90 Dur:88
Id:13 FDay:1 LDay:90 Dur:89
Id:14 FDay:1 LDay:90 Dur:89
Id:15 FDay:51 LDay:90 Dur:39
Id:16 FDay:7 LDay:13 Dur:6
Id:17 FDay:87 LDay:89 Dur:2
Id:18 FDay:3 LDay:89 Dur:86
Id:19 FDay:8 LDay:11 Dur:3
Id:20 FDay:43 LDay:86 Dur:43
Id:21 FDay:32 LDay:32 Dur:0
Id:22 FDay:32 LDay:32 Dur:0
Id:23 FDay:81 LDay:81 Dur:0
Id:24 FDay:52 LDay:79 Dur:27
Id:25 FDay:72 LDay:78 Dur:6
Id:26 FDay:75 LDay:75 Dur:0
Id:27 FDay:22 LDay:23 Dur:1
