Supp,Fcount,Mcount,FTotal,MTotal,Ratio
0,90,90,76833698,223516,0.003
.05,90,90,139876,39966,.28
.10,90,90,32493,13525,.41
.15,90,90,16787,8095,.48
.20,90,90,11115,5787,.52
.25,90,90,7980,4357,.54
.30,90,90,6276,3415,.54
.35,90,90,5143,2776,.53
.40,90,90,4418,2294,.51
.45,90,90,3862,1936,.50
.50,90,90,3401,1643,.48
.55,90,90,3012,1414,.46
.60,90,90,2753,1235,.44
.65,90,90,2524,1100,.43
.70,90,90,2290,995,.43
.75,90,90,2087,905,.43
.80,90,90,1917,834,.43
.85,90,90,1730,753,.43
.90,90,90,1563,693,.44
.95,90,90,1359,620,.45
1.00,90,90,1220,550,.45
1.05,90,90,1110,502,.45
1.10,90,90,1000,453,.45
1.15,90,90,901,423,.46
1.20,90,90,830,403,.48
1.25,90,90,745,372,.49
1.30,90,90,694,347,.50
1.35,90,90,649,324,.49
1.40,90,90,608,308,.50
1.45,90,90,581,292,.50
1.50,90,90,552,281,.50
1.55,90,90,508,275,.54
1.60,90,90,487,273,.56
1.65,90,90,462,261,.56
1.70,90,90,438,247,.56
1.75,90,90,417,233,.55
1.80,90,90,405,226,.55
1.85,90,90,391,218,.55
1.90,90,90,360,205,.56
1.95,90,90,336,197,.58
2.00,90,90,323,188,.58
2.05,90,90,314,181,.57
2.10,89,89,301,171,.56
2.15,86,86,284,162,.57
2.20,84,84,278,157,.56
2.25,83,83,267,148,.55
2.30,82,82,257,142,.55
2.35,76,76,246,133,.54
2.40,73,73,238,126,.52
2.45,72,72,230,124,.53
2.50,69,69,222,121,.54
2.55,67,67,212,113,.53
2.60,65,65,207,109,.52
2.65,64,64,199,104,.52
2.70,63,63,191,100,.52
2.75,61,61,188,97,.51
2.80,61,61,179,95,.53
2.85,58,58,165,90,.54
2.90,57,57,157,83,.52
2.95,57,57,150,82,.54
3.00,55,55,145,77,.53
3.05,54,54,139,75,.53
3.10,53,53,135,73,.54
3.15,52,52,132,71,.53
3.20,50,50,127,68,.53
3.25,50,50,126,69,.54
3.30,50,50,106,69,.65
3.35,50,50,105,70,.66
3.40,50,50,104,69,.66
3.45,50,50,104,69,.66
3.50,50,50,100,68,.68
3.55,49,49,99,67,.67
3.60,49,49,98,66,.67
3.65,48,48,95,63,.66
3.70,48,48,95,63,.66
3.75,48,48,95,63,.66
3.80,48,48,95,63,.66
3.85,47,47,94,62,.65
3.90,47,47,94,62,.65
3.95,46,46,91,59,.64
4.00,46,46,91,59,.64
4.05,46,46,90,58,.64
4.10,46,46,89,57,.64
4.15,46,46,88,57,.64
4.20,46,46,87,56,.64
4.25,45,45,84,55,.65
4.30,45,45,83,56,.67
4.35,44,44,78,53,.67
4.40,43,43,77,52,.67
4.45,42,42,76,51,.67
4.50,41,41,73,48,.65
4.55,41,41,73,48,.65
4.60,41,41,69,47,.68
4.65,40,40,68,46,.67
4.70,40,40,67,46,.68
4.75,40,40,67,46,.68
4.80,39,39,64,45,.70
4.85,39,39,64,45,.70
4.90,39,39,63,44,.69
4.95,38,38,62,43,.69
5.00,38,38,62,43,.69
5.05,38,38,62,43,.69
5.10,38,38,62,43,.69
5.15,38,38,61,45,.73
5.20,38,38,60,44,.73
5.25,38,38,59,44,.74
5.30,38,38,59,44,.74
5.35,38,38,58,45,.77
5.40,38,38,57,44,.77
5.45,38,38,57,44,.77
5.50,38,38,57,44,.77
5.55,38,38,57,44,.77
