supp,len,num,avg
0,260909,85222,2.06
.05,47983,20407,1.35
.10,14385,6175,1.32
.15,8423,3644,1.31
.20,6078,2669,1.27
.25,4457,1974,1.25
.30,3400,1496,1.27
.35,2796,1236,1.26
.40,2339,1038,1.25
.45,1947,860,1.26
.50,1672,732,1.28
.55,1456,631,1.30
.60,1253,533,1.35
.65,1087,451,1.41
.70,969,394,1.45
.75,881,353,1.49
.80,806,321,1.51
.85,746,297,1.51
.90,679,271,1.50
.95,610,245,1.48
1.00,550,222,1.47
1.05,499,203,1.45
1.10,446,182,1.45
1.15,401,169,1.37
1.20,372,161,1.31
1.25,341,154,1.21
1.30,299,137,1.18
1.35,272,126,1.15
1.40,251,117,1.14
1.45,234,111,1.10
1.50,216,105,1.05
1.55,205,101,1.02
1.60,197,98,1.01
1.65,186,93,1.00
1.70,172,86,1.00
1.75,168,84,1.00
1.80,164,82,1.00
1.85,164,82,1.00
1.90,154,77,1.00
1.95,152,76,1.00
2.00,150,75,1.00
2.05,148,74,1.00
2.10,142,71,1.00
2.15,134,67,1.00
2.20,130,65,1.00
2.25,122,61,1.00
2.30,122,61,1.00
2.35,110,55,1.00
2.40,102,51,1.00
2.45,98,49,1.00
2.50,92,46,1.00
2.55,82,41,1.00
2.60,76,38,1.00
2.65,70,35,1.00
2.70,66,33,1.00
2.75,60,30,1.00
2.80,58,29,1.00
2.85,50,25,1.00
2.90,44,22,1.00
2.95,44,22,1.00
3.00,38,19,1.00
3.05,36,18,1.00
3.10,34,17,1.00
3.15,30,15,1.00
3.20,28,14,1.00
3.25,28,14,1.00
3.30,28,14,1.00
3.35,28,14,1.00
3.40,28,14,1.00
3.45,28,14,1.00
3.50,28,14,1.00
3.55,26,13,1.00
3.60,24,12,1.00
3.65,22,11,1.00
3.70,22,11,1.00
3.75,22,11,1.00
3.80,22,11,1.00
3.85,20,10,1.00
3.90,20,10,1.00
3.95,16,8,1.00
4.00,16,8,1.00
4.05,14,7,1.00
4.10,14,7,1.00
4.15,14,7,1.00
4.20,14,7,1.00
4.25,12,6,1.00
4.30,12,6,1.00
4.35,10,5,1.00
4.40,10,5,1.00
4.45,8,4,1.00
4.50,4,2,1.00
4.55,4,2,1.00
4.60,4,2,1.00
4.65,4,2,1.00
4.70,4,2,1.00
4.75,4,2,1.00
4.80,2,1,1.00
4.85,2,1,1.00
4.90,2,1,1.00
4.95,2,1,1.00
5.00,2,1,1.00
5.05,2,1,1.00
5.10,2,1,1.00
5.15,2,1,1.00
5.20,2,1,1.00
5.25,2,1,1.00
5.30,2,1,1.00
5.35,2,1,1.00
5.40,2,1,1.00
5.45,2,1,1.00
5.50,2,1,1.00
5.55,2,1,1.00
